Day,File,Lines,Sections,InfoBlocks,SimpleAnalogies,CodeBlocks,Videos,ValidVideos,BrokenVideos,BrokenVideoIds,ReadTime,HeroPractice,ActualQuestions,Mismatch
1,DayOne.html,1082,12,6,12,17,11,11,0,"",90,30,30,false
2,DayTwo.html,1047,12,9,13,12,10,9,1,"biW3S9WQ9U",95,40,20,true
3,DayThree.html,433,8,6,5,4,8,8,0,"",50,20,20,false
4,DayFour.html,344,8,8,5,1,5,5,0,"",55,15,15,false
5,DayFive.html,406,8,9,7,3,5,5,0,"",45,20,20,false
6,DaySix.html,436,7,9,3,1,6,6,0,"",0,20,20,false
7,DaySeven.html,642,9,10,8,5,9,9,0,"",75,20,20,false
8,DayEight.html,348,8,6,4,1,8,8,0,"",40,20,20,false
9,DayNine.html,300,8,3,3,2,5,5,0,"",50,20,20,false
10,DayTen.html,307,7,4,4,1,5,5,0,"",50,20,20,false
11,DayEleven.html,258,7,3,2,1,5,5,0,"",45,20,20,false
12,DayTwelve.html,265,7,3,4,0,5,5,0,"",50,20,20,false
13,DayThirteen.html,243,7,3,3,0,5,5,0,"",50,20,20,false
14,DayFourteen.html,255,7,4,3,1,5,5,0,"",50,20,20,false
15,DayFifteen.html,375,8,3,4,1,4,4,0,"",45,15,15,false
16,DaySixteen.html,452,11,4,3,0,4,4,0,"",80,22,6,true
17,DaySeventeen.html,388,8,3,3,3,3,3,0,"",50,15,12,true
18,DayEighteen.html,309,7,3,4,1,3,3,0,"",45,10,22,true
19,DayNineteen.html,345,10,5,4,2,5,5,0,"",60,20,20,false
20,DayTwenty.html,259,7,5,3,1,5,5,0,"",45,20,20,false
21,DayTwentyOne.html,311,7,4,4,1,4,4,0,"",45,12,20,true
22,DayTwentyTwo.html,289,6,4,4,1,4,4,0,"",45,12,20,true
23,DayTwentyThree.html,296,7,2,2,1,3,3,0,"",45,12,20,true
24,DayTwentyFour.html,398,7,3,2,1,8,8,0,"",45,12,20,true
25,DayTwentyFive.html,344,7,4,3,1,3,3,0,"",45,10,20,true
26,DayTwentySix.html,417,10,3,2,2,3,3,0,"",45,20,20,false
27,DayTwentySeven.html,309,7,2,2,1,3,3,0,"",45,12,20,true
28,DayTwentyEight.html,293,6,3,5,1,4,4,0,"",45,10,20,true
29,DayTwentyNine.html,310,7,3,3,1,5,5,0,"",45,12,20,true
30,DayThirty.html,331,7,5,5,1,5,5,0,"",45,12,20,true
31,DayThirtyOne.html,367,9,3,3,1,5,5,0,"",45,18,20,true
32,DayThirtyTwo.html,604,11,4,3,7,0,0,0,"",75,20,20,false
33,DayThirtyThree.html,420,10,4,3,4,4,4,0,"",75,18,20,true
34,DayThirtyFour.html,288,6,3,3,2,4,4,0,"",45,10,20,true
35,DayThirtyFive.html,283,6,1,1,2,4,4,0,"",50,10,20,true
36,DayThirtySix.html,360,9,3,2,1,0,0,0,"",90,20,20,false
37,DayThirtySeven.html,463,6,5,3,3,0,0,0,"",35,10,20,true
38,DayThirtyEight.html,728,10,7,3,5,6,6,0,"",85,20,20,false
39,DayThirtyNine.html,460,7,3,3,2,4,4,0,"",45,10,20,true
40,DayForty.html,432,7,2,3,2,5,5,0,"",50,10,20,true
41,DayFortyOne.html,374,7,3,2,1,4,4,0,"",55,10,20,true
42,DayFortyTwo.html,377,8,3,3,1,4,4,0,"",55,10,20,true
43,DayFortyThree.html,602,11,5,3,4,0,0,0,"",95,20,20,false
44,DayFortyFour.html,389,10,4,3,2,5,5,0,"",90,24,20,true
45,DayFortyFive.html,271,6,3,2,1,4,4,0,"",45,12,20,true
46,DayFortySix.html,286,6,3,3,1,3,3,0,"",45,12,20,true
47,DayFortySeven.html,268,6,0,0,1,2,2,0,"",45,12,20,true
48,DayFortyEight.html,369,10,2,0,2,2,2,0,"",90,24,20,true
49,DayFortyNine.html,298,7,2,3,1,4,4,0,"",45,12,20,true
50,DayFifty.html,282,6,3,3,1,5,5,0,"",45,12,20,true
51,DayFiftyOne.html,382,7,3,2,1,4,4,0,"",45,10,20,true
52,DayFiftyTwo.html,287,5,1,0,1,0,0,0,"",45,8,20,true
53,DayFiftyThree.html,281,6,1,0,1,0,0,0,"",45,8,20,true
54,DayFiftyFour.html,257,5,1,0,1,0,0,0,"",50,8,20,true
55,DayFiftyFive.html,373,11,2,0,1,3,3,0,"",90,14,20,true
56,DayFiftySix.html,284,7,2,2,1,3,3,0,"",45,0,20,true
57,DayFiftySeven.html,304,8,0,0,1,1,1,0,"",50,0,20,true
58,DayFiftyEight.html,313,8,0,1,1,2,2,0,"",50,0,20,true
59,DayFiftyNine.html,316,8,0,0,1,1,1,0,"",45,0,20,true
60,DaySixty.html,335,10,0,0,1,3,3,0,"",95,12,20,true
61,DaySixtyOne.html,302,8,0,0,1,3,3,0,"",50,0,20,true
62,DaySixtyTwo.html,405,13,0,0,1,4,4,0,"",95,0,20,true
63,DaySixtyThree.html,296,8,0,0,1,4,4,0,"",45,0,20,true
64,DaySixtyFour.html,304,8,0,0,1,2,2,0,"",50,0,20,true
65,DaySixtyFive.html,291,8,0,0,1,3,3,0,"",50,0,20,true
66,DaySixtySix.html,326,6,1,0,1,5,5,0,"",50,10,20,true
67,DaySixtySeven.html,298,6,0,0,0,5,5,0,"",45,10,20,true
68,DaySixtyEight.html,366,11,0,0,1,2,2,0,"",95,0,20,true
69,DaySixtyNine.html,387,12,0,1,1,1,1,0,"",90,0,20,true
70,DaySeventy.html,310,8,0,0,1,4,4,0,"",50,0,20,true
71,DaySeventyOne.html,295,8,0,0,1,4,4,0,"",45,0,20,true
72,DaySeventyTwo.html,284,8,0,0,1,4,4,0,"",50,0,20,true
73,DaySeventyThree.html,292,8,0,0,1,1,1,0,"",45,0,20,true
74,DaySeventyFour.html,359,11,0,0,2,3,3,0,"",90,0,20,true
75,DaySeventyFive.html,263,8,0,0,1,1,1,0,"",50,0,20,true
76,DaySeventySix.html,286,8,0,0,1,5,5,0,"",50,0,20,true
77,DaySeventySeven.html,280,8,0,0,1,3,3,0,"",45,0,20,true
78,DaySeventyEight.html,285,8,0,0,1,4,4,0,"",45,0,20,true
79,DaySeventyNine.html,285,8,0,0,1,2,2,0,"",50,0,20,true
80,DayEighty.html,403,13,0,0,2,1,1,0,"",90,0,20,true
81,DayEightyOne.html,539,15,3,0,2,2,2,0,"",90,10,20,true
82,DayEightyTwo.html,282,7,0,0,1,1,1,0,"",60,10,20,true
83,DayEightyThree.html,281,7,0,0,1,1,1,0,"",50,10,20,true
84,DayEightyFour.html,284,8,0,0,1,1,1,0,"",60,10,20,true
85,DayEightyFive.html,269,7,0,0,1,2,2,0,"",60,10,20,true
86,DayEightySix.html,383,13,1,0,1,3,3,0,"",120,10,20,true
87,DayEightySeven.html,355,12,1,0,1,3,3,0,"",120,10,20,true
88,DayEightyEight.html,267,7,1,0,1,2,2,0,"",60,10,20,true
89,DayEightyNine.html,263,7,0,0,1,2,2,0,"",60,10,20,true
90,DayNinety.html,270,7,0,0,1,4,4,0,"",60,10,20,true
91,DayNinetyOne.html,239,7,1,0,0,1,1,0,"",45,0,20,true
92,DayNinetyTwo.html,282,7,0,0,1,4,4,0,"",45,0,20,true
93,DayNinetyThree.html,272,7,0,0,2,3,3,0,"",45,0,20,true
94,DayNinetyFour.html,263,7,0,0,1,2,2,0,"",45,0,20,true
95,DayNinetyFive.html,263,7,0,0,1,2,2,0,"",45,0,20,true
96,DayNinetySix.html,262,7,1,0,1,2,2,0,"",45,0,20,true
97,DayNinetySeven.html,238,7,0,1,0,1,1,0,"",45,0,20,true
98,DayNinetyEight.html,248,0,0,0,0,1,1,0,"",0,0,20,true
99,DayNinetyNine.html,60,0,0,0,0,0,0,0,"",0,0,20,true
100,DayOneHundred.html,74,0,0,0,0,0,0,0,"",0,0,20,true